,gender,birth,marriage,religion,income,code_job,code_region
114,2.0,1989.0,5.0,2.0,,,1.0
115,1.0,1987.0,1.0,1.0,277.0,863.0,2.0
116,2.0,1986.0,1.0,1.0,,,2.0
117,1.0,2013.0,0.0,1.0,,,2.0
118,2.0,2017.0,0.0,1.0,,,2.0
119,1.0,1961.0,3.0,2.0,192.0,910.0,2.0
120,2.0,1992.0,5.0,2.0,,,2.0
121,2.0,1996.0,5.0,2.0,,521.0,2.0
122,2.0,1933.0,2.0,2.0,,,2.0
123,1.0,1967.0,3.0,2.0,102.0,521.0,1.0
124,2.0,1994.0,5.0,2.0,40.0,521.0,1.0
125,2.0,1937.0,2.0,2.0,,,1.0
126,1.0,1935.0,1.0,2.0,,,1.0
127,2.0,1941.0,1.0,1.0,,,1.0
128,1.0,1936.0,1.0,2.0,,,1.0
129,2.0,1940.0,1.0,2.0,,,1.0
130,1.0,1957.0,1.0,2.0,273.0,792.0,1.0
131,2.0,1960.0,1.0,2.0,,,1.0
132,1.0,1983.0,5.0,2.0,198.0,899.0,2.0
133,1.0,1950.0,1.0,2.0,234.0,873.0,1.0
134,2.0,1953.0,1.0,1.0,147.0,941.0,1.0
135,1.0,1962.0,1.0,2.0,,431.0,1.0
136,2.0,1963.0,1.0,1.0,150.0,951.0,1.0
137,2.0,1989.0,5.0,2.0,318.0,285.0,1.0
138,1.0,1992.0,5.0,2.0,210.0,799.0,1.0
139,1.0,1959.0,1.0,2.0,,875.0,1.0
140,2.0,1961.0,1.0,2.0,,,1.0
141,2.0,1990.0,5.0,2.0,257.0,312.0,2.0
142,1.0,1954.0,1.0,2.0,180.0,862.0,1.0
143,2.0,1955.0,1.0,2.0,,941.0,1.0
144,2.0,1989.0,5.0,2.0,208.0,243.0,1.0
145,1.0,1971.0,1.0,2.0,,,1.0
146,2.0,1977.0,1.0,2.0,,,1.0
147,2.0,2000.0,5.0,2.0,,,1.0
148,1.0,2002.0,0.0,2.0,,,1.0
149,1.0,2004.0,0.0,2.0,,,1.0
150,2.0,2014.0,0.0,2.0,,,1.0
151,2.0,1939.0,2.0,2.0,,,1.0
152,1.0,1949.0,1.0,2.0,,,1.0
153,2.0,1954.0,1.0,1.0,,521.0,1.0
154,1.0,1978.0,1.0,2.0,458.0,311.0,2.0
155,2.0,1982.0,1.0,1.0,,,2.0
156,2.0,2014.0,0.0,2.0,,,2.0
157,1.0,2016.0,0.0,2.0,,,2.0
158,1.0,1942.0,1.0,1.0,,,1.0
159,2.0,1949.0,1.0,1.0,,,1.0
160,1.0,1995.0,5.0,2.0,200.0,922.0,1.0
161,1.0,1998.0,5.0,2.0,50.0,521.0,1.0
162,2.0,1980.0,1.0,2.0,,,1.0
163,1.0,1980.0,1.0,2.0,542.0,222.0,1.0
164,2.0,2016.0,0.0,2.0,,,1.0
165,2.0,1957.0,3.0,2.0,185.0,421.0,5.0
166,2.0,1943.0,2.0,1.0,61.0,941.0,1.0
167,1.0,1973.0,5.0,2.0,250.0,521.0,1.0
168,1.0,1960.0,1.0,2.0,410.0,314.0,1.0
169,2.0,1966.0,1.0,2.0,83.0,510.0,1.0
170,2.0,1943.0,2.0,1.0,40.0,941.0,1.0
171,2.0,1971.0,1.0,1.0,120.0,259.0,1.0
172,2.0,1998.0,5.0,2.0,,,1.0
173,2.0,1999.0,5.0,2.0,,,1.0
174,1.0,1968.0,1.0,2.0,358.0,799.0,1.0
175,1.0,1958.0,1.0,1.0,266.0,721.0,1.0
176,2.0,1958.0,1.0,1.0,,952.0,1.0
177,1.0,1986.0,1.0,2.0,260.0,159.0,1.0
178,2.0,1984.0,1.0,2.0,,,1.0
179,1.0,2013.0,0.0,2.0,,,1.0
180,1.0,1966.0,1.0,1.0,392.0,862.0,1.0
181,2.0,1968.0,1.0,1.0,160.0,399.0,1.0
182,1.0,2000.0,5.0,1.0,,,1.0
183,1.0,1974.0,1.0,2.0,344.0,953.0,1.0
184,2.0,1973.0,1.0,2.0,160.0,930.0,1.0
185,2.0,2003.0,0.0,2.0,,,1.0
186,1.0,2004.0,0.0,2.0,,,1.0
187,1.0,1959.0,1.0,2.0,214.0,741.0,1.0
188,2.0,1959.0,1.0,1.0,173.0,441.0,1.0
189,1.0,1960.0,1.0,2.0,178.0,941.0,1.0
190,2.0,1960.0,1.0,1.0,95.0,941.0,1.0
191,1.0,1988.0,5.0,2.0,180.0,510.0,1.0
192,1.0,1985.0,5.0,2.0,317.0,221.0,1.0
193,2.0,1960.0,4.0,1.0,,951.0,1.0
194,1.0,1987.0,5.0,2.0,192.0,314.0,1.0
195,2.0,1943.0,4.0,1.0,94.0,941.0,1.0
196,2.0,1971.0,5.0,2.0,,,1.0
197,1.0,1959.0,1.0,2.0,,873.0,1.0
198,2.0,1965.0,1.0,2.0,80.0,442.0,1.0
199,1.0,1987.0,5.0,2.0,162.0,910.0,1.0
200,2.0,1988.0,5.0,2.0,243.0,313.0,1.0
201,1.0,1938.0,3.0,2.0,,,1.0
202,2.0,1939.0,2.0,2.0,,,1.0
203,1.0,1964.0,5.0,2.0,236.0,751.0,1.0
204,1.0,1969.0,1.0,2.0,301.0,312.0,1.0
205,2.0,1977.0,1.0,2.0,193.0,314.0,1.0
206,2.0,2006.0,0.0,2.0,,,1.0
207,1.0,2010.0,0.0,2.0,,,1.0
208,2.0,1939.0,2.0,1.0,,,1.0
209,2.0,1971.0,1.0,1.0,283.0,312.0,2.0
210,1.0,1966.0,1.0,1.0,200.0,251.0,2.0
211,1.0,2012.0,0.0,1.0,,,2.0
212,1.0,1965.0,5.0,1.0,,,1.0
213,2.0,1958.0,3.0,1.0,,521.0,1.0
214,1.0,1987.0,5.0,1.0,271.0,312.0,1.0
215,1.0,1938.0,2.0,2.0,,,1.0
216,2.0,1942.0,2.0,1.0,,,1.0
217,1.0,1925.0,1.0,2.0,,,1.0
218,2.0,1936.0,1.0,2.0,,,1.0
219,2.0,1953.0,2.0,1.0,,,1.0
220,1.0,1978.0,1.0,1.0,608.0,753.0,1.0
221,2.0,1979.0,1.0,1.0,,,1.0
222,1.0,2009.0,0.0,1.0,,,1.0
223,1.0,2011.0,0.0,1.0,,,1.0
224,1.0,1979.0,1.0,2.0,750.0,312.0,2.0
225,2.0,1983.0,1.0,2.0,,,2.0
226,2.0,1946.0,3.0,2.0,,,1.0
227,1.0,1957.0,5.0,2.0,,,1.0
228,2.0,1934.0,2.0,1.0,27.0,941.0,1.0
229,2.0,1958.0,1.0,1.0,128.0,951.0,1.0
230,2.0,1983.0,1.0,1.0,683.0,320.0,1.0
231,1.0,1975.0,1.0,1.0,462.0,311.0,1.0
232,1.0,2014.0,0.0,1.0,,,1.0
233,2.0,2015.0,0.0,1.0,,,1.0
234,1.0,1984.0,1.0,2.0,450.0,761.0,2.0
235,2.0,1984.0,1.0,2.0,,,2.0
236,2.0,2013.0,0.0,2.0,,,2.0
237,1.0,1945.0,3.0,2.0,,,2.0
238,2.0,1982.0,5.0,1.0,170.0,225.0,2.0
239,2.0,1957.0,2.0,1.0,,951.0,1.0
240,1.0,1982.0,5.0,1.0,344.0,412.0,1.0
241,2.0,1979.0,1.0,2.0,172.0,320.0,1.0
242,1.0,1975.0,1.0,2.0,500.0,231.0,1.0
243,1.0,2012.0,0.0,2.0,,,1.0
244,1.0,2015.0,0.0,2.0,,,1.0
245,1.0,1932.0,1.0,1.0,,,1.0
246,2.0,1940.0,1.0,1.0,,,1.0
247,1.0,1959.0,1.0,1.0,,274.0,2.0
248,2.0,1964.0,1.0,1.0,235.0,442.0,2.0
249,2.0,1989.0,5.0,1.0,500.0,254.0,2.0
250,2.0,1990.0,5.0,1.0,248.0,243.0,2.0
251,1.0,1952.0,3.0,1.0,,,1.0
252,1.0,1952.0,1.0,1.0,,,1.0
253,2.0,1950.0,1.0,1.0,,,1.0
254,2.0,1980.0,5.0,1.0,,,1.0
255,1.0,1967.0,1.0,2.0,,873.0,1.0
256,2.0,1968.0,1.0,2.0,,422.0,1.0
257,2.0,1995.0,5.0,2.0,204.0,442.0,1.0
258,1.0,2000.0,5.0,2.0,,,1.0
259,1.0,1973.0,1.0,2.0,,531.0,1.0
260,2.0,1976.0,1.0,1.0,,,1.0
261,1.0,2006.0,0.0,1.0,,,1.0
262,1.0,1973.0,1.0,2.0,500.0,312.0,1.0
263,2.0,1973.0,1.0,2.0,208.0,521.0,1.0
264,2.0,2000.0,5.0,2.0,,,1.0
265,1.0,2002.0,0.0,2.0,,,1.0
266,1.0,1964.0,1.0,2.0,,330.0,1.0
267,2.0,1962.0,1.0,1.0,53.0,247.0,1.0
268,2.0,1991.0,5.0,1.0,,,1.0
269,1.0,1947.0,1.0,1.0,,,1.0
270,2.0,1958.0,1.0,1.0,,422.0,1.0
271,1.0,1976.0,1.0,1.0,,941.0,1.0
272,2.0,1981.0,1.0,1.0,100.0,254.0,1.0
273,1.0,2008.0,0.0,1.0,,,1.0
274,2.0,1951.0,2.0,1.0,,,1.0
275,2.0,1933.0,2.0,1.0,,,1.0
276,1.0,1976.0,1.0,2.0,417.0,245.0,2.0
277,2.0,1977.0,1.0,2.0,,,2.0
278,1.0,2004.0,0.0,2.0,,,2.0
279,1.0,2007.0,0.0,2.0,,,2.0
280,1.0,1933.0,6.0,1.0,,,1.0
281,2.0,1936.0,2.0,1.0,,,1.0
282,1.0,1958.0,1.0,1.0,,873.0,1.0
283,2.0,1962.0,1.0,1.0,,,1.0
284,1.0,1988.0,5.0,1.0,196.0,245.0,1.0
285,1.0,1977.0,1.0,2.0,460.0,441.0,7.0
286,2.0,1977.0,1.0,2.0,,,7.0
287,2.0,2007.0,0.0,2.0,,,7.0
288,2.0,2009.0,0.0,2.0,,,7.0
289,1.0,2011.0,0.0,2.0,,,7.0
290,1.0,1979.0,1.0,2.0,300.0,222.0,2.0
291,2.0,1979.0,1.0,2.0,207.0,313.0,2.0
292,1.0,2007.0,0.0,2.0,,,2.0
293,2.0,2013.0,0.0,2.0,,,2.0
294,2.0,1946.0,2.0,2.0,,,2.0
295,1.0,1944.0,1.0,1.0,,873.0,1.0
296,2.0,1952.0,1.0,1.0,,,1.0
297,1.0,1972.0,5.0,2.0,,521.0,1.0
298,1.0,1944.0,1.0,1.0,,,2.0
299,2.0,1952.0,1.0,1.0,120.0,521.0,2.0
300,1.0,1946.0,1.0,1.0,160.0,942.0,1.0
301,2.0,1948.0,1.0,1.0,,,1.0
302,2.0,1936.0,2.0,2.0,,,1.0
303,1.0,1935.0,1.0,2.0,,,1.0
304,2.0,1942.0,1.0,2.0,,,1.0
305,1.0,1977.0,1.0,1.0,506.0,510.0,2.0
306,2.0,1979.0,1.0,1.0,130.0,312.0,2.0
307,1.0,2006.0,0.0,1.0,,,2.0
308,2.0,2008.0,0.0,1.0,,,2.0
309,2.0,1930.0,2.0,2.0,,,1.0
310,1.0,1965.0,1.0,2.0,,762.0,1.0
311,2.0,1970.0,1.0,2.0,,,1.0
312,2.0,1995.0,5.0,2.0,172.0,422.0,1.0
313,2.0,2001.0,0.0,2.0,,,1.0
314,2.0,1940.0,2.0,2.0,,,1.0
315,2.0,1943.0,2.0,1.0,27.0,999.0,1.0
316,1.0,1938.0,1.0,1.0,5.0,941.0,1.0
317,2.0,1946.0,1.0,2.0,,,1.0
318,1.0,1954.0,1.0,2.0,,873.0,1.0
319,2.0,1958.0,1.0,2.0,,521.0,1.0
320,1.0,1984.0,5.0,2.0,,921.0,1.0
321,2.0,1937.0,2.0,1.0,,,1.0
322,2.0,1962.0,2.0,1.0,107.0,952.0,1.0
323,2.0,1941.0,2.0,1.0,115.0,710.0,1.0
324,1.0,1968.0,5.0,2.0,,,1.0
325,2.0,1953.0,2.0,1.0,108.0,952.0,1.0
326,1.0,1974.0,1.0,2.0,592.0,222.0,1.0
327,2.0,1979.0,1.0,2.0,244.0,313.0,1.0
328,2.0,2007.0,0.0,2.0,,,1.0
329,2.0,1954.0,2.0,1.0,111.0,952.0,7.0
330,1.0,1944.0,1.0,1.0,,,1.0
331,2.0,1944.0,1.0,1.0,,,1.0
332,1.0,1952.0,1.0,2.0,,,1.0
333,2.0,1956.0,1.0,2.0,,,1.0
334,2.0,1984.0,1.0,2.0,,,5.0
335,1.0,1983.0,1.0,2.0,375.0,761.0,5.0
336,1.0,2010.0,0.0,2.0,,,5.0
337,2.0,2013.0,0.0,2.0,,,5.0
338,2.0,1948.0,2.0,2.0,,531.0,1.0
339,2.0,1942.0,2.0,1.0,,,1.0
340,2.0,1965.0,1.0,2.0,333.0,159.0,1.0
341,2.0,1989.0,5.0,2.0,200.0,312.0,1.0
342,2.0,1994.0,5.0,2.0,192.0,312.0,1.0
343,1.0,1959.0,1.0,2.0,,873.0,1.0
344,2.0,1941.0,1.0,1.0,,,1.0
345,1.0,1940.0,1.0,1.0,60.0,942.0,1.0
346,1.0,1932.0,1.0,2.0,,,1.0
347,2.0,1936.0,1.0,2.0,,,1.0
348,1.0,1960.0,1.0,1.0,200.0,942.0,1.0
349,2.0,1963.0,1.0,1.0,,,1.0
350,2.0,1990.0,5.0,2.0,310.0,283.0,1.0
351,1.0,1963.0,1.0,1.0,,873.0,6.0
352,2.0,1990.0,1.0,1.0,53.0,281.0,6.0
353,2.0,2011.0,0.0,1.0,,,6.0
354,2.0,2013.0,0.0,1.0,,,6.0
355,1.0,1977.0,1.0,1.0,559.0,411.0,1.0
356,2.0,1978.0,1.0,1.0,658.0,243.0,1.0
357,2.0,2006.0,0.0,1.0,,,1.0
358,2.0,1950.0,2.0,1.0,,,1.0
359,1.0,2008.0,0.0,1.0,,,1.0
